number-of-products,alive-mutants,uncovered-pairs,cost,unselected-features,unimportance-features
0.0,1.0,1.0,0.0,1.0,1.0
0.029411764705882353,0.4811320754716981,0.4339622641509434,0.02871912693854107,0.8679245283018868,0.9707177454865697
1.0,0.0,0.2924528301886793,1.0,0.8679245283018868,0.0
0.08823529411764706,0.0,0.2924528301886793,0.09075244112578977,0.8679245283018868,0.9101717305151915
1.0,0.0,0.2924528301886793,1.0,0.8679245283018868,0.0
0.0,1.0,1.0,0.0,1.0,1.0
0.014705882352941176,0.7830188679245282,0.8018867924528301,0.011487650775416428,0.9245283018867925,0.9876706296785557
0.014705882352941176,0.7452830188679245,0.7358490566037736,0.012062033314187249,0.9150943396226415,0.9867899603698811
0.029411764705882353,0.6226415094339622,0.6981132075471699,0.023262492820218264,0.9056603773584906,0.976882430647292
0.014705882352941176,0.7735849056603774,0.8018867924528301,0.011200459506031017,0.9245283018867925,0.9878907970057244
0.029411764705882353,0.679245283018868,0.7452830188679245,0.022688110281447443,0.9150943396226415,0.97556142668428
0.058823529411764705,0.5943396226415094,0.6603773584905661,0.05025847214244687,0.9056603773584906,0.9460590048436812
0.6470588235294118,0.17924528301886788,0.3867924528301887,0.6289488799540494,0.8773584905660378,0.3276089828269484
0.1323529411764706,0.4811320754716981,0.5754716981132075,0.11401493394600803,0.8962264150943396,0.868560105680317
0.14705882352941177,0.4056603773584906,0.5094339622641509,0.1292360712234348,0.8867924528301887,0.8531483927785117
0.014705882352941176,0.679245283018868,0.4811320754716981,0.01723147616312464,0.8867924528301887,0.9797446059004844
0.39705882352941174,0.15094339622641506,0.33018867924528306,0.3957495692130959,0.8679245283018868,0.56516952884192
0.10294117647058823,0.3113207547169812,0.46226415094339623,0.08816771970132108,0.8773584905660378,0.9029062087186261
0.4264705882352941,0.2547169811320755,0.3867924528301887,0.4198736358414704,0.8773584905660378,0.5391897842360195
0.014705882352941176,0.7169811320754718,0.6603773584905661,0.01263641585295807,0.9056603773584906,0.9839277851166887
0.5294117647058824,0.07547169811320753,0.3113207547169812,0.520964962665135,0.8679245283018868,0.43659180977542933
0.8382352941176471,0.0,0.2924528301886793,0.8360137851809305,0.8679245283018868,0.14707177454865683
0.8235294117647058,0.009433962264150941,0.2924528301886793,0.816771970132108,0.8679245283018868,0.16666666666666652
0.36764705882352944,0.17924528301886788,0.3867924528301887,0.35123492245835725,0.8773584905660378,0.6175693527080581
0.3088235294117647,0.21698113207547165,0.3867924528301887,0.3067202757036186,0.8773584905660378,0.6527961250550418
0.8970588235294118,0.0,0.2924528301886793,0.8948879954049397,0.8679245283018868,0.08916776750330224
0.9852941176470589,0.0,0.2924528301886793,0.9819069500287191,0.8679245283018868,0.01651254953764858
0.9264705882352942,0.0,0.2924528301886793,0.9270534175761057,0.8679245283018868,0.06715103478643747
0.014705882352941176,0.7169811320754718,0.6603773584905661,0.01263641585295807,0.9056603773584906,0.9839277851166887
0.04411764705882353,0.5754716981132075,0.5943396226415094,0.03676048248133257,0.8962264150943396,0.9579480405107882
0.014705882352941176,0.6886792452830188,0.5754716981132075,0.014359563469270534,0.8962264150943396,0.9821664464993395
0.8088235294117647,0.0,0.2924528301886793,0.7986789201608271,0.8679245283018868,0.17745486569793012
0.6911764705882353,0.0,0.2924528301886793,0.6872487076392878,0.8679245283018868,0.28577719066490526
0.7647058823529411,0.028301886792452824,0.30188679245283023,0.7541642734060885,0.8679245283018868,0.21840598855129867
0.8529411764705882,0.0,0.2924528301886793,0.8532452613440551,0.8679245283018868,0.13452223690004383
0.9117647058823529,0.0,0.2924528301886793,0.9126938541068351,0.8679245283018868,0.08190224570673699
0.9411764705882353,0.0,0.2924528301886793,0.9414129810453762,0.8679245283018868,0.053060325847644085
0.5735294117647058,0.037735849056603765,0.30188679245283023,0.5801263641585296,0.8679245283018868,0.39365918097754293
0.029411764705882353,0.5094339622641509,0.5188679245283019,0.025847214244686962,0.8773584905660378,0.973139586085425
0.5588235294117647,0.07547169811320753,0.3113207547169812,0.5508328546812177,0.8679245283018868,0.4057683839718187
0.04411764705882353,0.37735849056603776,0.44339622641509435,0.04106835152211373,0.8773584905660378,0.9542051959489212
0.07352941176470588,0.3679245283018868,0.42452830188679247,0.06691556576680069,0.8773584905660378,0.9229414354909732
0.08823529411764706,0.4339622641509434,0.4811320754716981,0.07840321654221712,0.8867924528301887,0.9143549097313959
0.7941176470588235,0.0,0.2924528301886793,0.7863296955772544,0.8679245283018868,0.1917657419638923
0.20588235294117646,0.2075471698113207,0.3679245283018868,0.1886846639862148,0.8679245283018868,0.7945838837516512
0.8676470588235294,0.0,0.2924528301886793,0.8673176335439403,0.8679245283018868,0.12373403786878001
0.17647058823529413,0.28301886792452835,0.4528301886792453,0.16025272831705917,0.8773584905660378,0.8295904887714664
0.029411764705882353,0.5377358490566038,0.5566037735849056,0.02556002297530155,0.8867924528301887,0.9722589167767504
0.6911764705882353,0.05660377358490565,0.3113207547169812,0.6728891441700172,0.8679245283018868,0.2877586966094231
0.14705882352941177,0.339622641509434,0.3867924528301887,0.15163699023549684,0.8773584905660378,0.8236459709379128
0.029411764705882353,0.5471698113207547,0.5943396226415094,0.024124066628374498,0.8867924528301887,0.9749009247027741
0.25,0.24528301886792447,0.3867924528301887,0.2472716829408386,0.8773584905660378,0.7142228093350946
0.5,0.08490566037735847,0.3113207547169812,0.49339460080413555,0.8679245283018868,0.464993394980185
0.3382352941176471,0.08490566037735847,0.3207547169811321,0.3282596209075244,0.8679245283018868,0.6367239101717306
0.6029411764705882,0.10377358490566035,0.3113207547169812,0.5890292935094773,0.8679245283018868,0.36856010568031694
0.058823529411764705,0.5,0.6226415094339622,0.048535324526134405,0.8962264150943396,0.9500220167327169
0.11764705882352941,0.41509433962264153,0.5188679245283019,0.10109132682366456,0.8867924528301887,0.8879348304711581
0.27941176470588236,0.13207547169811318,0.34905660377358494,0.2645031591039632,0.8679245283018868,0.7344782034346103
0.6617647058823529,0.05660377358490565,0.30188679245283023,0.6522113727742677,0.8679245283018868,0.30999559665345666
0.7058823529411765,0.018867924528301883,0.2924528301886793,0.7148190695002872,0.8679245283018868,0.2692646411272567
0.22058823529411764,0.19811320754716977,0.3867924528301887,0.2148190695002872,0.8773584905660378,0.7569352708058124
0.04411764705882353,0.5283018867924528,0.6415094339622642,0.03618609994256174,0.8962264150943396,0.9652135623073536
0.9558823529411765,0.0,0.2924528301886793,0.956634118322803,0.8679245283018868,0.0427124614707175
0.4264705882352941,0.13207547169811318,0.39622641509433965,0.43164847788627225,0.8773584905660378,0.5882870981946279
0.29411764705882354,0.09433962264150941,0.33018867924528306,0.284606547960942,0.8679245283018868,0.7219286657859973
0.04411764705882353,0.46226415094339623,0.5,0.04164273406088455,0.8867924528301887,0.9515631880228974
0.6323529411764706,0.08490566037735847,0.3207547169811321,0.612578977599081,0.8679245283018868,0.34588287098194637
0.014705882352941176,0.6886792452830188,0.5754716981132075,0.014359563469270534,0.8962264150943396,0.9821664464993395
0.7205882352941176,0.018867924528301883,0.2924528301886793,0.7096496266513498,0.8679245283018868,0.2617789520035225
0.45588235294117646,0.028301886792452824,0.3113207547169812,0.4417001723147616,0.8679245283018868,0.5673712021136064
